player,shot_type,location,defender_distance,time_remaining,score_diff,shot_success
Player B,LAYUP,right wing,1.88,6,2,True
Player B,MIDRANGE,paint,2.08,6,-3,True
Player B,LAYUP,right wing,2.62,4,-4,True
Player A,LAYUP,left wing,2.07,11,-10,False
Player A,3PT,left wing,1.52,9,6,False
Player B,3PT,paint,3.43,17,-3,False
Player B,3PT,top of key,3.21,19,-9,True
Player B,MIDRANGE,paint,1.23,8,0,True
Player B,3PT,left wing,1.52,14,-4,False
Player C,MIDRANGE,right wing,3.1,16,3,False
Player A,LAYUP,top of key,2.01,16,5,True
Player A,LAYUP,paint,1.58,16,4,False
Player A,3PT,left wing,0.94,23,2,False
Player C,LAYUP,paint,1.13,19,4,True
Player A,MIDRANGE,left wing,2.14,20,-10,True
Player A,MIDRANGE,left wing,1.33,22,8,False
Player B,MIDRANGE,paint,3.54,7,-7,True
Player B,LAYUP,right wing,2.92,13,-1,False
Player C,3PT,right wing,0.59,18,-4,False
Player A,MIDRANGE,top of key,2.48,20,9,True
Player A,3PT,top of key,1.07,22,-6,True
Player A,MIDRANGE,right wing,2.88,17,-4,False
Player A,3PT,top of key,3.53,7,-7,False
Player A,MIDRANGE,top of key,1.12,1,7,True
Player B,3PT,top of key,3.24,1,3,False
Player A,LAYUP,right wing,0.63,11,3,True
Player B,3PT,top of key,1.48,1,-5,True
Player B,MIDRANGE,top of key,0.65,23,4,True
Player B,3PT,left wing,1.74,5,8,False
Player A,MIDRANGE,right wing,1.97,10,-6,True
Player B,LAYUP,paint,1.1,7,-7,True
Player B,LAYUP,top of key,1.56,11,-9,False
Player C,LAYUP,right wing,0.68,1,3,True
Player C,MIDRANGE,top of key,3.39,1,9,True
Player B,LAYUP,left wing,2.75,8,-7,True
Player C,MIDRANGE,paint,1.93,23,8,False
Player B,LAYUP,left wing,2.74,1,-8,True
Player B,LAYUP,right wing,1.38,8,9,True
Player B,LAYUP,paint,1.18,5,-9,False
Player B,LAYUP,left wing,3.34,4,-6,True
Player B,MIDRANGE,top of key,3.99,10,-5,False
Player C,LAYUP,paint,0.74,2,5,True
Player A,3PT,right wing,1.61,18,-4,False
Player C,3PT,right wing,2.95,10,-7,False
Player C,3PT,paint,3.33,22,-7,False
Player B,3PT,top of key,3.57,10,2,True
Player B,LAYUP,left wing,1.54,17,-5,True
Player B,MIDRANGE,right wing,3.29,22,10,True
Player C,3PT,right wing,2.32,14,-7,False
Player A,MIDRANGE,right wing,2.25,20,-3,False
Player C,MIDRANGE,right wing,2.16,17,10,True
Player C,MIDRANGE,right wing,3.79,3,-8,True
Player C,LAYUP,left wing,3.38,7,2,True
Player B,LAYUP,right wing,0.83,5,-5,True
Player A,3PT,left wing,1.4,5,-6,False
Player B,LAYUP,right wing,2.84,17,-3,True
Player B,LAYUP,paint,3.25,4,3,False
Player B,3PT,right wing,3.71,16,4,False
Player B,LAYUP,right wing,3.3,16,7,True
Player A,MIDRANGE,right wing,2.17,9,-7,True
Player C,MIDRANGE,top of key,2.16,16,4,True
Player B,MIDRANGE,right wing,1.59,3,-4,True
Player C,LAYUP,right wing,3.78,20,2,True
Player B,3PT,top of key,2.35,13,-10,True
Player B,MIDRANGE,paint,0.95,22,-7,True
Player B,LAYUP,right wing,0.58,21,0,False
Player A,MIDRANGE,top of key,0.69,23,4,False
Player A,MIDRANGE,right wing,1.69,18,-1,False
Player C,3PT,top of key,2.28,1,-2,False
Player C,3PT,right wing,2.94,17,-1,False
Player B,MIDRANGE,top of key,0.55,9,7,False
Player B,LAYUP,top of key,1.01,4,-10,True
Player A,3PT,paint,1.4,19,2,False
Player C,LAYUP,left wing,2.9,23,-5,True
Player B,LAYUP,left wing,1.06,2,-1,True
Player C,MIDRANGE,paint,3.22,11,-8,True
Player B,LAYUP,right wing,0.61,10,6,True
Player B,3PT,top of key,3.65,9,6,True
Player A,LAYUP,paint,3.65,3,4,True
Player C,LAYUP,paint,3.5,18,7,False
Player A,MIDRANGE,left wing,3.38,14,-7,False
Player C,3PT,left wing,1.38,21,-10,True
Player B,MIDRANGE,paint,1.65,19,-5,False
Player C,MIDRANGE,top of key,1.82,21,-3,True
Player B,LAYUP,top of key,0.73,10,7,True
Player A,MIDRANGE,top of key,2.48,22,2,False
Player B,LAYUP,top of key,2.5,3,1,True
Player B,MIDRANGE,right wing,3.75,19,5,True
Player C,MIDRANGE,paint,2.88,17,-8,False
Player B,3PT,top of key,1.53,13,-6,True
Player B,MIDRANGE,right wing,0.82,15,-3,False
Player C,LAYUP,right wing,1.29,6,-3,False
Player C,MIDRANGE,top of key,1.17,18,-3,False
Player B,3PT,paint,1.44,20,9,False
Player A,MIDRANGE,left wing,2.0,11,-6,False
Player A,LAYUP,right wing,3.98,24,-1,True
Player A,LAYUP,right wing,3.4,19,4,True
Player C,3PT,paint,1.98,17,-3,False
Player C,3PT,right wing,2.7,16,9,False
Player C,LAYUP,right wing,2.39,11,-7,True
Player A,LAYUP,top of key,3.01,18,0,True
Player A,MIDRANGE,paint,0.82,3,-4,True
Player B,MIDRANGE,paint,2.47,11,6,False
Player A,LAYUP,left wing,1.09,8,10,True
Player B,MIDRANGE,top of key,0.95,21,6,True
Player C,LAYUP,left wing,3.58,5,2,True
Player B,LAYUP,left wing,1.57,24,6,False
Player C,3PT,right wing,0.89,9,4,False
Player B,3PT,paint,0.84,6,-8,False
Player A,MIDRANGE,paint,3.19,24,8,False
Player A,LAYUP,right wing,1.3,12,-8,False
Player B,LAYUP,paint,3.68,5,3,True
Player A,LAYUP,top of key,3.14,10,-4,True
Player B,LAYUP,paint,2.44,20,-6,True
Player A,3PT,left wing,3.11,13,9,False
Player B,LAYUP,left wing,1.02,4,-9,False
Player B,LAYUP,top of key,1.8,6,2,True
Player C,3PT,paint,1.75,17,-10,False
Player C,3PT,paint,1.65,15,2,True
Player C,3PT,right wing,0.74,5,-1,True
Player B,MIDRANGE,left wing,3.93,16,-4,False
Player A,MIDRANGE,right wing,3.86,16,-6,False
Player B,3PT,right wing,2.02,15,-5,True
Player B,3PT,top of key,1.9,24,2,False
Player B,MIDRANGE,right wing,1.12,3,-4,True
Player C,LAYUP,right wing,2.0,10,10,True
Player C,3PT,left wing,1.33,14,-3,True
Player B,3PT,top of key,2.45,5,-3,False
Player C,LAYUP,paint,1.28,12,5,True
Player B,MIDRANGE,left wing,1.68,14,-10,False
Player C,LAYUP,top of key,1.07,15,5,True
Player C,MIDRANGE,left wing,1.3,8,2,False
Player C,MIDRANGE,paint,2.58,2,2,True
Player B,MIDRANGE,right wing,3.53,4,5,False
Player B,3PT,right wing,2.0,23,1,False
Player A,MIDRANGE,left wing,1.91,21,-2,False
Player C,LAYUP,right wing,1.91,24,-6,False
Player A,MIDRANGE,paint,1.85,8,4,False
Player B,LAYUP,right wing,3.92,17,-1,False
Player B,3PT,paint,3.51,24,4,True
Player C,3PT,paint,2.0,11,-3,False
Player A,LAYUP,top of key,0.88,13,-1,True
Player B,3PT,right wing,2.26,12,5,False
Player B,MIDRANGE,right wing,3.75,20,3,False
Player C,3PT,paint,2.22,3,-4,False
Player A,3PT,left wing,2.34,16,9,True
Player B,LAYUP,left wing,2.28,21,3,True
Player A,3PT,left wing,1.03,20,-10,False
Player C,LAYUP,paint,2.94,5,-9,True
Player A,MIDRANGE,left wing,0.65,18,-10,False
Player A,MIDRANGE,paint,2.67,11,-4,False
Player C,3PT,left wing,3.38,13,-1,False
Player C,MIDRANGE,top of key,1.69,4,-3,True
Player A,MIDRANGE,paint,2.19,15,6,True
Player B,MIDRANGE,paint,2.77,21,5,True
Player C,3PT,top of key,0.96,19,6,True
Player A,MIDRANGE,left wing,3.32,2,-10,False
Player B,3PT,right wing,0.88,10,-8,False
Player B,MIDRANGE,right wing,0.75,15,4,True
Player B,LAYUP,right wing,3.07,15,9,False
Player A,3PT,top of key,3.24,3,-9,False
Player B,MIDRANGE,right wing,1.62,21,-8,False
Player A,3PT,paint,0.9,6,2,False
Player C,MIDRANGE,paint,3.88,10,8,False
Player C,MIDRANGE,left wing,1.71,7,-6,False
Player C,MIDRANGE,top of key,0.92,17,5,True
Player B,LAYUP,paint,2.59,18,10,False
Player B,3PT,top of key,3.01,2,8,False
Player B,MIDRANGE,paint,2.34,6,4,True
Player C,MIDRANGE,top of key,0.59,5,1,False
Player A,MIDRANGE,paint,3.27,4,-8,False
Player A,MIDRANGE,top of key,1.42,3,7,True
Player B,MIDRANGE,top of key,3.99,18,-7,False
Player C,MIDRANGE,right wing,1.16,3,-2,False
Player C,3PT,right wing,2.81,4,2,True
Player B,MIDRANGE,paint,1.18,13,-8,False
Player A,MIDRANGE,paint,1.23,12,2,False
Player C,LAYUP,top of key,0.96,3,7,False
Player A,MIDRANGE,right wing,1.72,19,7,True
Player B,LAYUP,left wing,1.05,12,-6,True
Player A,MIDRANGE,top of key,1.44,24,1,True
Player B,3PT,left wing,2.15,6,5,False
Player C,MIDRANGE,top of key,2.99,7,-6,True
Player C,3PT,right wing,3.08,12,5,True
Player B,LAYUP,right wing,1.62,2,-8,False
Player C,MIDRANGE,top of key,0.98,22,-9,False
Player B,LAYUP,left wing,0.73,8,3,True
Player A,MIDRANGE,right wing,3.31,24,10,True
Player C,3PT,right wing,1.87,16,6,False
Player B,LAYUP,paint,0.89,20,-10,False
Player C,LAYUP,left wing,2.34,16,-10,False
Player B,LAYUP,paint,3.92,21,3,True
Player A,MIDRANGE,paint,3.71,8,-5,True
Player B,LAYUP,left wing,1.93,9,6,True
Player B,LAYUP,top of key,3.3,18,10,False
Player C,LAYUP,left wing,0.94,9,4,False
Player B,MIDRANGE,paint,0.98,17,2,True
Player A,3PT,right wing,1.7,3,3,True
Player B,LAYUP,right wing,0.94,2,3,False
Player B,LAYUP,top of key,1.12,4,3,True
Player B,MIDRANGE,top of key,3.36,10,3,True
Player A,LAYUP,paint,3.28,4,10,True
Player A,3PT,right wing,0.77,23,-4,False
Player C,LAYUP,paint,3.14,3,2,False
Player A,LAYUP,left wing,0.64,21,7,True
Player C,3PT,paint,2.18,9,10,False
Player A,LAYUP,paint,1.29,17,6,True
Player B,3PT,top of key,2.42,12,1,False
Player B,MIDRANGE,top of key,1.0,9,-4,False
Player A,MIDRANGE,paint,3.96,6,1,True
Player C,3PT,left wing,2.39,19,7,True
Player C,LAYUP,paint,3.7,15,3,False
Player A,MIDRANGE,right wing,2.44,17,-7,True
Player A,LAYUP,top of key,2.72,20,-2,True
Player A,LAYUP,paint,3.05,17,9,True
Player A,LAYUP,right wing,3.66,24,-7,False
Player B,LAYUP,right wing,1.22,13,-4,True
Player C,3PT,left wing,1.18,4,-4,False
Player C,MIDRANGE,right wing,0.99,6,0,True
Player C,LAYUP,left wing,2.42,2,-7,True
Player A,MIDRANGE,top of key,2.26,6,-10,False
Player C,LAYUP,paint,3.03,23,8,True
Player A,LAYUP,top of key,1.95,14,2,True
Player C,LAYUP,paint,2.27,17,-9,True
Player B,3PT,left wing,1.08,8,-3,False
Player A,MIDRANGE,top of key,0.59,2,-6,False
Player A,3PT,left wing,2.18,22,9,False
Player C,MIDRANGE,left wing,3.93,14,-4,True
Player A,3PT,right wing,1.37,16,10,True
Player A,3PT,paint,3.2,9,-10,True
Player C,LAYUP,left wing,3.31,5,-1,False
Player B,LAYUP,left wing,3.59,24,-2,True
Player A,MIDRANGE,top of key,3.88,18,8,True
Player B,3PT,paint,2.64,2,8,True
Player B,MIDRANGE,top of key,1.96,6,-4,True
Player B,3PT,left wing,3.71,22,7,False
Player C,MIDRANGE,top of key,1.73,4,-5,False
Player B,MIDRANGE,paint,0.57,1,-5,True
Player C,LAYUP,paint,3.54,2,-7,False
Player C,MIDRANGE,paint,2.79,20,9,False
Player B,MIDRANGE,right wing,1.22,8,6,True
Player B,LAYUP,right wing,3.77,18,4,False
Player C,3PT,left wing,1.5,4,-1,False
Player C,3PT,paint,2.11,16,-4,False
Player A,3PT,paint,3.52,10,1,True
Player A,3PT,top of key,0.6,19,-1,True
Player C,MIDRANGE,top of key,1.33,20,4,False
Player C,LAYUP,left wing,3.82,16,2,True
Player B,LAYUP,left wing,3.47,19,8,True
Player A,LAYUP,left wing,2.55,21,0,True
Player A,3PT,right wing,3.49,21,-3,False
Player A,3PT,top of key,1.88,24,3,False
Player B,MIDRANGE,top of key,0.58,16,1,False
Player B,3PT,left wing,0.63,15,6,False
Player A,3PT,right wing,3.53,10,8,False
Player B,3PT,right wing,0.9,12,10,False
Player C,LAYUP,paint,3.62,11,-1,True
Player B,MIDRANGE,paint,0.64,14,-4,False
Player A,MIDRANGE,paint,0.62,23,-1,True
Player A,3PT,paint,1.29,18,1,True
Player B,3PT,right wing,1.59,13,-2,True
Player C,MIDRANGE,right wing,2.29,15,-2,True
Player A,MIDRANGE,left wing,3.55,2,9,False
Player B,3PT,right wing,2.12,8,6,False
Player C,MIDRANGE,top of key,3.8,20,2,False
Player A,3PT,right wing,2.95,17,-2,False
Player C,3PT,paint,3.02,6,-9,False
Player B,3PT,paint,0.84,2,-7,False
Player B,LAYUP,left wing,2.29,14,5,True
Player A,3PT,right wing,3.62,7,2,False
Player C,LAYUP,top of key,3.45,2,7,True
Player A,LAYUP,left wing,2.93,15,2,True
Player C,LAYUP,paint,2.26,5,0,False
Player C,3PT,left wing,1.26,7,-8,False
Player A,3PT,right wing,3.87,21,4,True
Player B,3PT,paint,3.84,7,7,False
Player A,LAYUP,paint,1.27,16,-1,True
Player A,MIDRANGE,paint,3.01,3,4,False
Player A,MIDRANGE,top of key,0.95,8,6,False
Player A,MIDRANGE,top of key,1.55,14,1,True
Player B,MIDRANGE,right wing,0.82,19,8,False
Player B,3PT,right wing,1.86,13,-7,True
Player A,MIDRANGE,paint,1.13,11,6,False
Player C,MIDRANGE,paint,2.29,16,3,True
Player C,3PT,right wing,0.67,19,2,True
Player A,3PT,top of key,4.0,17,9,False
Player C,LAYUP,right wing,3.55,14,-7,False
Player A,3PT,top of key,2.28,20,-9,False
Player C,LAYUP,paint,1.25,22,2,False
Player A,MIDRANGE,right wing,1.86,8,6,True
Player A,MIDRANGE,left wing,1.33,14,-3,True
Player C,3PT,left wing,1.98,11,-5,False
Player A,3PT,left wing,1.51,4,1,False
Player A,LAYUP,top of key,2.73,17,8,True
Player B,3PT,top of key,2.05,4,3,False
Player C,MIDRANGE,top of key,2.88,20,10,False
Player C,LAYUP,right wing,2.0,7,9,True
Player A,MIDRANGE,top of key,3.03,15,10,False
Player A,LAYUP,paint,1.4,16,6,False
Player C,3PT,left wing,2.64,15,10,False
Player B,LAYUP,paint,3.61,8,1,False
Player A,MIDRANGE,left wing,2.37,15,-9,False
Player B,MIDRANGE,left wing,1.74,8,-5,True
Player C,3PT,paint,1.84,21,1,True
Player A,3PT,top of key,2.46,10,-1,False
Player C,3PT,left wing,0.75,20,-3,False
Player A,MIDRANGE,paint,2.98,10,7,False
Player C,LAYUP,left wing,3.39,12,-2,True
Player B,3PT,top of key,3.69,13,9,True
Player A,3PT,right wing,1.17,13,-3,False
Player C,LAYUP,left wing,3.04,15,6,False
Player B,3PT,left wing,1.79,8,10,False
Player B,LAYUP,left wing,2.35,11,1,False
Player C,3PT,paint,2.71,10,-4,True
Player C,MIDRANGE,right wing,3.03,3,-4,True
Player A,3PT,right wing,1.3,1,8,False
Player A,LAYUP,left wing,3.22,9,-8,True
Player A,MIDRANGE,left wing,1.23,9,-2,True
Player B,MIDRANGE,left wing,1.27,16,-3,False
Player B,LAYUP,paint,1.88,9,-9,True
Player B,LAYUP,right wing,3.71,22,3,True
Player C,LAYUP,paint,1.49,23,4,True
Player C,3PT,top of key,1.83,18,-10,False
Player A,LAYUP,right wing,3.04,22,-10,True
Player A,3PT,top of key,1.13,10,-3,False
Player B,LAYUP,paint,1.56,16,-9,False
Player C,3PT,paint,0.7,18,7,False
Player C,LAYUP,right wing,0.93,4,-6,True
Player A,LAYUP,top of key,2.89,7,-9,True
Player A,MIDRANGE,paint,3.57,17,6,True
Player A,3PT,left wing,1.09,16,-9,True
Player B,LAYUP,left wing,0.93,8,0,False
Player B,3PT,paint,2.77,16,4,False
Player C,3PT,top of key,3.74,4,-8,False
Player C,MIDRANGE,paint,2.98,17,-2,False
Player C,LAYUP,paint,1.95,22,-5,True
Player A,LAYUP,top of key,1.68,3,8,True
Player C,3PT,left wing,3.37,1,-2,True
Player C,LAYUP,top of key,0.91,24,10,True
Player B,MIDRANGE,paint,1.99,15,-3,False
Player A,MIDRANGE,right wing,3.67,13,-5,False
Player A,3PT,left wing,3.33,13,0,False
Player A,MIDRANGE,right wing,2.25,21,5,True
Player B,MIDRANGE,paint,3.06,19,-2,True
Player C,3PT,top of key,3.56,20,-4,False
Player C,LAYUP,left wing,3.35,19,-7,False
Player B,3PT,top of key,3.25,13,2,False
Player A,LAYUP,right wing,0.87,16,-3,False
Player A,LAYUP,paint,1.45,18,-10,True
Player A,3PT,top of key,2.42,15,-8,False
Player B,3PT,paint,1.03,3,4,False
Player B,3PT,left wing,1.74,14,-8,True
Player A,MIDRANGE,paint,1.49,22,8,False
Player B,3PT,left wing,2.83,23,10,True
Player C,LAYUP,right wing,3.37,3,0,True
Player A,MIDRANGE,top of key,1.23,19,-3,False
Player B,3PT,top of key,3.92,22,3,True
Player B,MIDRANGE,left wing,1.98,6,6,False
Player B,MIDRANGE,left wing,1.35,1,1,True
Player B,LAYUP,paint,1.6,7,7,True
Player A,MIDRANGE,paint,2.48,11,-10,False
Player A,LAYUP,right wing,1.56,9,-2,False
Player A,MIDRANGE,paint,3.09,24,9,True
Player B,3PT,right wing,1.13,14,2,False
Player A,LAYUP,right wing,3.33,15,6,False
Player C,MIDRANGE,right wing,2.47,24,8,True
Player B,LAYUP,left wing,1.66,21,10,False
Player B,3PT,left wing,1.3,5,-6,True
Player A,3PT,right wing,2.3,6,1,True
Player B,MIDRANGE,top of key,3.78,19,1,True
Player C,3PT,paint,2.54,11,-6,True
Player A,LAYUP,right wing,3.16,9,-9,True
Player A,LAYUP,left wing,1.02,13,10,True
Player A,LAYUP,left wing,2.42,23,9,True
Player A,LAYUP,right wing,2.14,12,2,True
Player A,LAYUP,right wing,1.3,17,-7,True
Player B,3PT,left wing,1.91,19,-1,False
Player C,LAYUP,left wing,1.6,6,3,True
Player C,MIDRANGE,right wing,3.51,2,4,True
Player B,3PT,left wing,1.01,3,3,False
Player C,MIDRANGE,left wing,1.93,2,-10,False
Player A,3PT,right wing,3.53,17,-6,False
Player C,3PT,paint,1.4,21,7,True
Player B,LAYUP,left wing,2.9,7,7,True
Player C,3PT,paint,2.99,21,9,False
Player B,3PT,top of key,1.46,11,-4,True
Player C,3PT,right wing,2.27,15,9,True
Player B,MIDRANGE,left wing,2.47,10,2,True
Player C,MIDRANGE,paint,2.81,8,-6,False
Player B,LAYUP,paint,2.22,15,-2,True
Player B,LAYUP,right wing,2.53,22,9,True
Player C,MIDRANGE,paint,2.43,18,9,True
Player C,3PT,left wing,1.32,17,3,False
Player A,LAYUP,right wing,1.96,4,5,False
Player C,MIDRANGE,top of key,1.04,4,-10,False
Player A,LAYUP,paint,1.68,18,-1,True
Player B,LAYUP,paint,3.88,11,4,True
Player B,MIDRANGE,right wing,3.24,3,7,False
Player A,LAYUP,paint,2.47,17,10,True
Player B,3PT,right wing,2.98,24,8,True
Player B,3PT,left wing,0.95,17,10,False
Player B,MIDRANGE,left wing,2.31,19,10,True
Player C,MIDRANGE,left wing,2.61,9,-8,False
Player C,3PT,paint,3.37,21,9,False
Player A,LAYUP,paint,3.68,6,-6,True
Player B,MIDRANGE,right wing,1.57,22,2,True
Player B,LAYUP,top of key,3.13,1,2,True
Player C,MIDRANGE,left wing,2.42,20,-4,False
Player A,LAYUP,left wing,3.4,11,2,True
Player A,LAYUP,paint,0.86,24,-8,False
Player C,MIDRANGE,right wing,0.61,15,1,False
Player A,MIDRANGE,left wing,3.61,7,-8,True
Player B,LAYUP,paint,1.48,7,7,False
Player B,LAYUP,left wing,1.24,9,8,False
Player B,3PT,paint,1.01,11,-4,False
Player C,3PT,left wing,0.83,11,7,True
Player C,3PT,right wing,2.75,24,-7,False
Player A,MIDRANGE,paint,1.74,10,8,False
Player A,LAYUP,top of key,0.83,24,9,True
Player A,MIDRANGE,top of key,3.22,16,9,False
Player C,LAYUP,paint,1.77,3,-10,True
Player B,3PT,paint,3.47,4,9,False
Player C,LAYUP,left wing,2.38,12,-4,False
Player C,MIDRANGE,right wing,3.73,17,-1,True
Player A,LAYUP,left wing,3.32,14,1,True
Player C,3PT,right wing,3.49,14,7,False
Player C,LAYUP,top of key,3.72,2,6,True
Player A,MIDRANGE,right wing,0.98,11,5,False
Player C,3PT,top of key,3.11,23,1,False
Player C,LAYUP,left wing,3.92,21,-6,True
Player B,MIDRANGE,left wing,3.12,6,-5,True
Player B,3PT,paint,1.55,14,-10,False
Player B,MIDRANGE,top of key,1.1,4,9,False
Player A,3PT,top of key,1.68,14,-9,True
Player A,MIDRANGE,left wing,2.68,12,-4,True
Player B,3PT,top of key,1.35,16,-7,False
Player A,LAYUP,paint,3.42,13,0,True
Player B,LAYUP,right wing,1.83,8,10,False
Player C,LAYUP,paint,1.21,1,3,True
Player C,MIDRANGE,left wing,2.3,24,4,False
Player C,LAYUP,right wing,2.54,4,3,False
Player B,LAYUP,right wing,2.46,13,3,False
Player C,MIDRANGE,paint,1.13,24,-6,False
Player B,LAYUP,paint,2.42,24,-6,False
Player A,MIDRANGE,paint,2.25,8,-9,True
Player B,LAYUP,top of key,3.21,24,1,True
Player B,3PT,left wing,2.12,17,-8,True
Player A,LAYUP,left wing,2.8,20,4,True
Player B,3PT,paint,3.19,23,3,False
Player A,LAYUP,right wing,2.64,2,4,False
Player A,3PT,right wing,1.09,4,-5,True
Player A,LAYUP,right wing,1.68,15,7,True
Player B,LAYUP,paint,2.32,16,6,True
Player B,LAYUP,left wing,3.45,9,-4,True
Player A,LAYUP,right wing,2.98,24,-6,True
Player B,LAYUP,paint,2.0,10,3,True
Player C,LAYUP,top of key,1.85,6,-7,True
Player C,MIDRANGE,right wing,3.57,20,-3,True
Player A,3PT,right wing,3.75,1,-4,False
Player B,MIDRANGE,paint,3.44,8,5,False
Player B,MIDRANGE,paint,2.88,11,3,True
Player C,LAYUP,left wing,2.18,19,-4,False
Player C,MIDRANGE,paint,2.66,5,0,False
Player C,3PT,right wing,2.52,2,8,True
Player B,3PT,paint,3.35,21,6,False
Player A,3PT,left wing,1.36,11,7,False
Player A,LAYUP,paint,3.73,21,1,True
Player A,3PT,top of key,1.76,12,1,False
Player C,MIDRANGE,paint,3.5,12,-10,True
Player B,MIDRANGE,paint,1.3,6,-10,False
Player A,3PT,paint,2.66,1,7,False
Player C,LAYUP,left wing,2.93,8,1,True
Player C,3PT,left wing,2.62,4,-7,False
Player B,3PT,top of key,0.9,5,5,False
Player B,LAYUP,paint,3.85,5,-5,True
Player C,LAYUP,paint,2.56,5,-2,True
Player B,3PT,top of key,3.9,9,7,False
Player A,MIDRANGE,top of key,3.46,7,4,False
Player C,LAYUP,left wing,1.9,24,-5,True
Player A,LAYUP,paint,3.64,17,5,False
Player A,3PT,right wing,1.42,6,-5,False
Player C,MIDRANGE,top of key,1.98,18,-10,True
Player B,3PT,left wing,3.72,22,-9,True
Player B,MIDRANGE,left wing,3.17,20,10,False
Player B,MIDRANGE,paint,1.53,4,-8,True
Player C,3PT,left wing,2.14,24,-10,False
Player B,LAYUP,right wing,3.75,4,10,True
Player B,3PT,left wing,1.6,23,9,True
Player B,3PT,left wing,1.99,5,-2,False
Player A,3PT,right wing,1.0,22,-3,False
Player C,MIDRANGE,top of key,0.51,6,2,False
Player A,LAYUP,top of key,2.66,8,-9,True
Player C,3PT,paint,1.67,16,4,True
Player A,LAYUP,right wing,1.05,10,-1,True
Player B,MIDRANGE,left wing,2.24,16,3,False
Player B,LAYUP,right wing,1.34,17,3,False
Player B,MIDRANGE,top of key,1.18,22,-1,True
Player B,MIDRANGE,right wing,1.04,9,4,False
Player A,LAYUP,right wing,1.16,17,-6,True
Player A,3PT,paint,2.49,19,5,False
Player C,LAYUP,left wing,1.13,18,-9,True
Player C,3PT,paint,0.74,2,3,True
Player C,MIDRANGE,top of key,3.12,3,5,False
Player C,MIDRANGE,top of key,1.12,10,-2,False
Player C,MIDRANGE,paint,3.31,1,-7,True
Player B,3PT,top of key,1.54,5,2,True
Player C,LAYUP,top of key,3.68,4,5,True
Player C,MIDRANGE,right wing,3.27,10,-2,True
Player B,3PT,top of key,1.43,12,-2,False
Player B,LAYUP,left wing,3.12,2,3,True
Player B,3PT,paint,2.62,3,0,False
Player B,3PT,right wing,2.59,11,-3,True
Player B,3PT,top of key,2.53,5,4,False
Player B,3PT,top of key,1.54,8,0,False
Player A,MIDRANGE,paint,0.9,16,-1,True
Player B,3PT,top of key,0.52,4,6,False
Player B,LAYUP,left wing,1.63,16,-10,True
Player A,MIDRANGE,paint,1.76,9,5,False
Player B,LAYUP,top of key,1.97,1,6,True
Player C,MIDRANGE,top of key,1.8,1,0,False
Player A,3PT,left wing,1.36,4,-5,False
Player B,MIDRANGE,top of key,0.85,23,-9,True
Player B,MIDRANGE,paint,0.78,3,7,False
Player C,3PT,top of key,2.99,6,-1,False
Player A,MIDRANGE,top of key,0.68,11,3,True
Player B,3PT,right wing,2.75,4,2,False
Player C,3PT,right wing,2.91,10,-5,False
Player B,3PT,top of key,3.94,2,6,False
Player B,LAYUP,left wing,1.24,7,0,True
Player A,MIDRANGE,top of key,2.21,2,0,False
Player C,LAYUP,left wing,2.77,13,0,True
Player C,LAYUP,top of key,3.0,12,-1,True
Player B,MIDRANGE,paint,1.52,6,1,False
Player B,LAYUP,left wing,0.61,12,1,True
Player A,MIDRANGE,right wing,0.65,8,-1,False
Player B,3PT,right wing,3.07,24,-6,False
Player B,3PT,right wing,0.71,17,0,False
Player A,MIDRANGE,right wing,0.73,21,-4,True
Player B,MIDRANGE,paint,0.58,11,-3,True
Player B,3PT,right wing,1.7,9,4,True
Player C,MIDRANGE,top of key,0.5,22,0,False
Player C,MIDRANGE,left wing,1.61,9,-5,True
Player A,LAYUP,top of key,1.97,3,-4,False
Player B,3PT,paint,2.21,4,-10,True
Player B,3PT,paint,2.68,2,-6,True
Player A,3PT,top of key,2.9,9,6,True
Player C,LAYUP,left wing,0.81,12,10,False
Player B,MIDRANGE,right wing,1.23,8,1,False
Player C,LAYUP,left wing,2.28,15,-6,True
Player C,3PT,top of key,2.33,24,2,True
Player A,LAYUP,paint,0.71,12,7,True
Player A,LAYUP,top of key,1.35,17,0,True
Player C,LAYUP,top of key,1.68,1,-1,True
Player A,LAYUP,top of key,2.42,24,7,True
Player C,MIDRANGE,top of key,2.3,12,2,False
Player A,3PT,top of key,2.27,11,2,True
Player C,3PT,top of key,3.45,10,1,False
Player A,3PT,paint,3.02,20,-8,False
Player C,3PT,right wing,2.39,8,9,False
Player B,MIDRANGE,paint,2.87,19,-3,False
Player C,LAYUP,paint,3.77,4,-7,True
Player C,LAYUP,right wing,0.56,23,-4,True
Player A,3PT,top of key,3.66,12,1,False
Player A,LAYUP,top of key,1.27,10,-5,True
Player C,LAYUP,paint,3.41,19,-2,False
Player C,3PT,left wing,1.22,15,8,False
Player B,LAYUP,left wing,1.22,3,10,True
Player A,3PT,right wing,3.75,20,10,False
Player B,MIDRANGE,left wing,2.56,6,-6,True
Player B,3PT,paint,3.25,18,2,True
Player B,3PT,right wing,1.05,1,6,True
Player B,MIDRANGE,right wing,2.84,11,4,True
Player B,3PT,top of key,2.47,10,0,False
Player B,LAYUP,right wing,1.08,8,10,True
Player A,3PT,right wing,1.6,3,-4,True
Player A,LAYUP,top of key,1.26,15,-2,False
Player B,3PT,top of key,3.16,20,3,False
Player B,MIDRANGE,left wing,2.36,13,5,False
